CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
Sierra Leone,SLE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.152044167890243
Singapore,SGP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.32015143623281
Slovak Republic,SVK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.367545917444919
Slovenia,SVN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.5042597022763085
Solomon Islands,SLB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.36830416927060106
Somalia,SOM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.0587068801132291
South Africa,ZAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,9.25721647223847
Spain,ESP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.79076423425033
Sri Lanka,LKA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.7299208395227371
St. Kitts and Nevis,KNA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.05096418732782
St. Lucia,LCA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.27042358794721
St. Vincent and the Grenadines,VCT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.1799233590327503
Sudan,SDN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.349548724216747
Suriname,SUR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.64991336144231
Swaziland,SWZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.864988312997234
Sweden,SWE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.5184214812387005
Switzerland,CHE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.62522992397501
Syrian Arab Republic,SYR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.7369909434886
Tajikistan,TJK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.358947629748805
Tanzania,TZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.154934900364361
Thailand,THA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.53449173353441
Timor-Leste,TMP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.16364808031474698
Togo,TGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.31944362162530104
Tonga,TON,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.983561958770787
Trinidad and Tobago,TTO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,37.140054240742
Tunisia,TUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.4024556390413903
Turkey,TUR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.383104516251859
Turkmenistan,TKM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,12.183666583638
Turks and Caicos Islands,TCA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.01014908437608
Uganda,UGA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.110886575504705
Ukraine,UKR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.26235196177316
United Arab Emirates,ARE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,20.433837619560197
United Kingdom,GBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.085732086027781
United States,USA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,17.0202163384029
Uruguay,URY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.29620068466244
Uzbekistan,UZB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.91492126628356
Vanuatu,VUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.59126577254461
"Venezuela, RB",VEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.4163335811843005
Vietnam,VNM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.97188917349727
West Bank and Gaza,WBG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.5724068773234681
"Yemen, Rep.",YEM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.9199676170025592
Zambia,ZMB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.212449644529525
Zimbabwe,ZWE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.6916978965166789
